date,agent,equity,cash,spy_close
2026-06-10,bull,98374.22,74304.65,727.87
2026-06-10,aggro,92766.31,13885.38,725.43
2026-06-11,bull,98825.30,74304.63,737.62
2026-06-11,aggro,94155.63,13885.38,737.76
2026-06-12,bull,98696.00,74304.63,741.02
2026-06-12,aggro,94051.73,13885.38,741.02
2026-06-15,bull,98897.57,74304.63,754.04
2026-06-15,aggro,97186.26,6553.25,754.83
2026-06-16,bull,99209.83,74304.63,751.01
2026-06-16,aggro,95591.38,6553.24,750.33
2026-06-17,bull,99037.62,74304.63,740.23
2026-06-17,aggro,94645.89,6553.24,740.96
2026-06-18,bull,99074.81,74304.63,747.47
2026-06-18,aggro,96864.56,12573.49,746.74
2026-06-19,bull,99039.61,74304.63,747.47
2026-06-19,aggro,97006.60,12573.47,746.74
2026-06-22,bull,99078.33,67261.74,744.69
2026-06-22,aggro,95130.45,20304.47,744.28
2026-06-23,bull,98711.58,67261.73,734.71
2026-06-23,aggro,92876.82,29962.31,733.58
2026-06-24,bull,98724.14,67261.73,732.24
2026-06-24,aggro,92841.47,36722.68,733.30
2026-06-25,bull,98925.93,73615.76,731.57
2026-06-25,aggro,92268.75,22458.30,733.50
2026-06-26,bull,99692.61,73615.74,732.865
2026-06-26,aggro,90582.08,22458.29,728.99
2026-06-29,bull,99940.72,73615.74,740.87
2026-06-29,aggro,91764.13,22458.29,741.00
2026-06-30,bull,99654.56,80023.74,746.72
2026-06-30,aggro,92930.05,22458.29,746.52
2026-07-01,bull,99626.38,80023.72,746.5225
2026-07-01,aggro,91756.99,22458.29,745.665
2026-07-02,bull,100016.50,80023.72,743.90
2026-07-02,aggro,90628.89,25696.41,744.80
2026-07-03,bull,100129.68,80023.72,744.86
2026-07-03,aggro,90674.09,25696.39,744.86
2026-07-06,bull,99924.58,80023.72,751.96
2026-07-06,aggro,92067.06,25696.39,751.96
2026-07-07,aggro,91348.21,32894.40,747.77
2026-07-08,bull,99847.38,80023.72,745.09
2026-07-08,aggro,92186.69,32894.38,745.32
2026-07-09,bull,99819.48,80023.72,751.155
2026-07-09,aggro,92784.71,32894.38,751.71
2026-07-10,bull,99603.88,80023.72,755.36
2026-07-10,aggro,93403.14,30516.28,754.94
2026-07-13,bull,99703.11,76244.80,749.33
2026-07-13,aggro,92213.20,30516.27,749.13
2026-07-14,bull,99368.15,76244.79,752.16
